Symbol,Company Name,Security Type,Sector,Industry,Sub-Industry
BP,BP plc,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
CGGYY,Viridien Societe anonyme,Depository Receipt,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
E,Eni SpA,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
LUKFY,PJSC LUKOIL,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
LUKOY,PJSC LUKOIL,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
MGYOY,MOL Hungarian Oil and Gas PLC,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
OMVKY,OMV Aktiengesellschaft,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
PBR,Petroleo Brasileiro S.A.- Petrobras,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
PBR/A,Petroleo Brasileiro S.A.- Petrobras,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
PEXNY,PTT Exploration and Production Public Co Ltd,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
REPYY,Repsol SA,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
SUBCY,Subsea 7 S.A.,Depository Receipt,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
EQNR,Equinor ASA,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
SSLZY,Santos Ltd,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
TGS,Transportadora de Gas del Sur SA,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
GTMAY,Grupo TMM SAB,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
TTE,TotalEnergies SE,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
TS,Tenaris SA,Depository Receipt,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
UGP,Ultrapar Participacoes SA,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
WDS,Woodside Energy Group Ltd,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
YPF,Ypf Sociedad Anonima Yacimientos Petroliferos Fisc,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
YZCAY,Yankuang Energy Group Company Limited,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
RLNIY,Reliance Industries Ltd,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
CCOZY,China Coal Energy Company,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
EC,Ecopetrol SA,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
SBFFY,SBM Offshore NV,Depository Receipt,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
CSUAY,China Shenhua Energy Co Ltd,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
IPXHY,Inpex Corp,Depository Receipt,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
