Symbol,Company Name,Security Type,Sector,Industry,Sub-Industry
PRDO,Perdoceo Education Corp,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
CHNUF,China Education Resources Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
GECSF,Global Education Communities Corp,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
CSV,Carriage Services Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
ATGE,Adtalem Global Education Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
ESINQ,ITT Educational Services Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
SPGZ,Spectrum Group International Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
HRB,H&R Block Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
LTRE,Learning Tree International Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
PLWN,Pinelawn Cemetary,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
MHGI,Midnight Holdings Group Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
RGS,Regis Corp,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
TIGE,Tigrent Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
SCI,Service Corp International,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
STRA,Strategic Education Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
QQQFF,Quizam Media Corp,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
UTI,Universal Technical Institute Inc.,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
VCTY,Videolocity International Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
GHC,Graham Holdings Co,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
WW,WW International Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
MMTS,Multi-Media Tutorial Services Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
LINC,Lincoln Educational Services Corp,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
KVIL,Kidville Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
TLGN,Ever Harvest International Group Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
ADD,Color Star Technology Co Ltd,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
APEI,American Public Education Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
LRN,Stride Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
NAUH,National American University Holdings Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
LOPE,Grand Canyon Education Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
ZVOI,Zovio Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
EDMCQ,Education Management Corp,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
XWEL,XWELL Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
ASPU,Aspen Group Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
BFAM,Bright Horizons Family Solutions Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
SCOO,School Specialty Inc.,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
CHGG,Chegg Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
LEAI,Legacy Education Alliance Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
LAUR,Laureate Education Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
OSW,OneSpaWorld Holdings Limited,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
ANVV,Anvia Holdings Corp,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
ADT,ADT Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
YGTYF,SSLJ.com Ltd,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
WAFU,Wah Fu Education Group Ltd,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
FTDR,Frontdoor Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
AFYA,Afya Limited,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
ZCMD,Zhongchao Inc,Common Stock,Consumer Discretionary,Diversified Consumer Services,Education Services
EJH,E-Home Household Service Holdings Ltd,Common Stock,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
